Investor,Startup,Compatibility,Score
Martin Group,"Walker, Allen and Conrad",High Compatibility,82.0
Shields PLC,Brown-Burton,High Compatibility,82.0
Shields PLC,Brown-Watson,High Compatibility,82.0
Duncan-Rivas,Barrett and Sons,High Compatibility,82.0
Shields PLC,Nguyen PLC,High Compatibility,82.0
Bowman-Henderson,Martin-Hudson,High Compatibility,82.0
Bowman-Henderson,"Gay, Hoffman and Rose",High Compatibility,82.0
Grant PLC,Torres-Orr,High Compatibility,82.0
Lopez Inc,"Walker, Allen and Conrad",High Compatibility,82.0
Lopez Inc,"Smith, Cunningham and Mays",High Compatibility,82.0
Carney Group,Martin-Hudson,High Compatibility,82.0
Hodges-Mendoza,Taylor LLC,High Compatibility,82.0
Hodges-Mendoza,Torres Inc,High Compatibility,82.0
Grant PLC,Mata Ltd,High Compatibility,82.0
"Watkins, Wood and Bird","Warren, Prince and Walker",High Compatibility,82.0
Bennett-Roberts,Adkins-Dean,High Compatibility,82.0
Carney Group,"Gay, Hoffman and Rose",High Compatibility,82.0
Duncan-Rivas,Combs-Rivera,High Compatibility,82.0
Bennett-Roberts,"Fuentes, Hebert and Hunter",High Compatibility,82.0
"Watkins, Wood and Bird",Hickman and Sons,High Compatibility,82.0
"King, Foster and Orr","Walker, Allen and Conrad",High Compatibility,82.0
Fleming Ltd,Mata Ltd,High Compatibility,82.0
"Vaughn, Smith and Larson","Gay, Hoffman and Rose",High Compatibility,82.0
Stephens Inc,Taylor LLC,High Compatibility,82.0
Stephens Inc,Torres Inc,High Compatibility,82.0
Hutchinson PLC,"Miller, Swanson and Allen",High Compatibility,82.0
Hutchinson PLC,Bell-Stephenson,High Compatibility,82.0
Bennett-Roberts,"Perkins, Moss and Moreno",High Compatibility,79.0
Hall PLC,Hickman and Sons,High Compatibility,79.0
Maldonado PLC,"Walker, Allen and Conrad",High Compatibility,79.0
Potts Inc,"Bennett, Walker and Taylor",High Compatibility,79.0
Hall PLC,Jensen-Roberts,High Compatibility,79.0
Ryan LLC,Bell-Stephenson,High Compatibility,79.0
French Ltd,Barrett and Sons,High Compatibility,79.0
"Avery, Jackson and Simmons",York-Ball,High Compatibility,79.0
"King, Mitchell and Williams","White, Odom and Burke",High Compatibility,79.0
Miller and Sons,"Jackson, Scott and Mclean",High Compatibility,77.5
Hall PLC,Hill-Huerta,High Compatibility,77.5
Potts Inc,Nguyen PLC,High Compatibility,77.5
Miller and Sons,"Bennett, Green and Robles",High Compatibility,73.0
French Ltd,"Bennett, Walker and Taylor",High Compatibility,73.0
French Ltd,Martinez Inc,High Compatibility,73.0
"Aguirre, Vincent and Chang",York-Ball,High Compatibility,73.0
"King, Mitchell and Williams","Woodard, Beck and Kim",High Compatibility,73.0
"King, Mitchell and Williams","Greene, Dyer and Owens",High Compatibility,73.0
Harris Ltd,"White, Odom and Burke",High Compatibility,73.0
Morris-Brown,Taylor-Taylor,High Compatibility,73.0
Ryan LLC,Spencer and Sons,High Compatibility,73.0
Morris-Brown,"Jackson, Scott and Mclean",High Compatibility,73.0
Hall PLC,"Warren, Prince and Walker",High Compatibility,73.0
Hall PLC,"Edwards, Cabrera and Miller",High Compatibility,73.0
Becker Ltd,Hickman and Sons,High Compatibility,73.0
Becker Ltd,Jensen-Roberts,High Compatibility,73.0
Morris-Brown,"Fuentes, Hebert and Hunter",High Compatibility,73.0
"Avery, Jackson and Simmons","Rogers, Larsen and Smith",High Compatibility,73.0
Ryan LLC,"Meadows, Stephens and Hernandez",High Compatibility,73.0
Potts Inc,Combs-Rivera,High Compatibility,73.0
Maldonado PLC,"Smith, Cunningham and Mays",High Compatibility,73.0
Potts Inc,"Crawford, Reyes and Smith",High Compatibility,71.5
Becker Ltd,"Miller, Swanson and Allen",High Compatibility,71.5
Potts Inc,Brown-Watson,High Compatibility,71.5
Hall PLC,"Grant, Wright and Pearson",High Compatibility,71.5
Miller-Johnson,"Dalton, Nguyen and Webb",Medium Compatibility,67.0
Barker and Sons,"Jackson, Scott and Mclean",Medium Compatibility,67.0
Stephens Inc,"Smith, Cunningham and Mays",Medium Compatibility,67.0
"Vaughn, Smith and Larson",Taylor LLC,Medium Compatibility,67.0
Stephens Inc,"Gay, Hoffman and Rose",Medium Compatibility,67.0
"Odonnell, Thornton and King","Greene, Dyer and Owens",Medium Compatibility,67.0
Becker Ltd,"Edwards, Cabrera and Miller",Medium Compatibility,67.0
Miller-Johnson,Hill-Huerta,Medium Compatibility,67.0
Miller-Johnson,"Meadows, Stephens and Hernandez",Medium Compatibility,67.0
Stephens Inc,"Walker, Allen and Conrad",Medium Compatibility,67.0
"Vaughn, Smith and Larson",Torres Inc,Medium Compatibility,67.0
Stephens Inc,Martin-Hudson,Medium Compatibility,67.0
"Odonnell, Thornton and King",Manning Group,Medium Compatibility,67.0
Hutchinson PLC,"Warren, Prince and Walker",Medium Compatibility,67.0
"Rush, Palmer and Perkins",Taylor-Taylor,Medium Compatibility,67.0
"Rush, Palmer and Perkins","Fuentes, Hebert and Hunter",Medium Compatibility,67.0
"Rush, Palmer and Perkins",Adkins-Dean,Medium Compatibility,67.0
Hodges-Mendoza,"Walker, Allen and Conrad",Medium Compatibility,67.0
Hodges-Mendoza,"Gay, Hoffman and Rose",Medium Compatibility,67.0
Duncan-Rivas,Nguyen PLC,Medium Compatibility,67.0
Duncan-Rivas,Brown-Watson,Medium Compatibility,67.0
"Rush, Palmer and Perkins","Fischer, Oconnor and Wright",Medium Compatibility,67.0
Shields PLC,"Bennett, Walker and Taylor",Medium Compatibility,67.0
Shields PLC,Martinez Inc,Medium Compatibility,67.0
Shields PLC,Murphy PLC,Medium Compatibility,67.0
"Watkins, Wood and Bird",Johnston-Fuller,Medium Compatibility,67.0
"Watkins, Wood and Bird",Harris Group,Medium Compatibility,67.0
"Watkins, Wood and Bird","Dalton, Nguyen and Webb",Medium Compatibility,67.0
Duncan-Rivas,Mata Ltd,Medium Compatibility,67.0
"Rush, Palmer and Perkins","Jackson, Scott and Mclean",Medium Compatibility,67.0
"Watkins, Wood and Bird",Hess-Wheeler,Medium Compatibility,67.0
"Rush, Palmer and Perkins",Padilla Inc,Medium Compatibility,67.0
Casey-Cabrera,"Bennett, Walker and Taylor",Medium Compatibility,67.0
"Rush, Palmer and Perkins","Hammond, Thornton and Michael",Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh",Hunt LLC,Medium Compatibility,67.0
Martin Group,Taylor LLC,Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh",Johnston-Fuller,Medium Compatibility,67.0
Casey-Cabrera,Martinez Inc,Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh",Harris Group,Medium Compatibility,67.0
Martin Group,Torres Inc,Medium Compatibility,67.0
Williams-Melton,Manning Group,Medium Compatibility,67.0
Miller-Lamb,Taylor-Taylor,Medium Compatibility,67.0
Williams-Melton,"Greene, Dyer and Owens",Medium Compatibility,67.0
Bennett-Roberts,"Bennett, Green and Robles",Medium Compatibility,67.0
"Watkins, Wood and Bird","Grant, Wright and Pearson",Medium Compatibility,67.0
Shields PLC,Barrett and Sons,Medium Compatibility,67.0
"Watkins, Wood and Bird",Hunt LLC,Medium Compatibility,67.0
Shields PLC,Combs-Rivera,Medium Compatibility,67.0
Fleming Ltd,Combs-Rivera,Medium Compatibility,67.0
Hutchinson PLC,Rivera Inc,Medium Compatibility,67.0
"King, Foster and Orr",Torres Inc,Medium Compatibility,67.0
"King, Foster and Orr",Taylor LLC,Medium Compatibility,67.0
Hutchinson PLC,Hickman and Sons,Medium Compatibility,67.0
Duncan-Rivas,"Crawford, Reyes and Smith",Medium Compatibility,67.0
Hodges-Mendoza,Martin-Hudson,Medium Compatibility,67.0
Grant PLC,Combs-Rivera,Medium Compatibility,67.0
"Watkins, Wood and Bird",Bell-Stephenson,Medium Compatibility,67.0
"Watkins, Wood and Bird","Miller, Swanson and Allen",Medium Compatibility,67.0
"Watkins, Wood and Bird",Spencer and Sons,Medium Compatibility,67.0
"Watkins, Wood and Bird",Hill-Huerta,Medium Compatibility,67.0
"Watkins, Wood and Bird","Meadows, Stephens and Hernandez",Medium Compatibility,67.0
Carney Group,Torres Inc,Medium Compatibility,67.0
Grant PLC,Barrett and Sons,Medium Compatibility,67.0
Grant PLC,"Bennett, Walker and Taylor",Medium Compatibility,67.0
Grant PLC,Martinez Inc,Medium Compatibility,67.0
Lopez Inc,Torres Inc,Medium Compatibility,67.0
Lopez Inc,Taylor LLC,Medium Compatibility,67.0
Grant PLC,Murphy PLC,Medium Compatibility,67.0
Bowman-Henderson,Torres Inc,Medium Compatibility,67.0
Bowman-Henderson,Taylor LLC,Medium Compatibility,67.0
Carney Group,Taylor LLC,Medium Compatibility,67.0
Casey-Cabrera,Combs-Rivera,Medium Compatibility,67.0
Hodges-Mendoza,"Smith, Cunningham and Mays",Medium Compatibility,67.0
Barker and Sons,"Fuentes, Hebert and Hunter",Medium Compatibility,67.0
Barker and Sons,Taylor-Taylor,Medium Compatibility,67.0
Barker and Sons,"Fischer, Oconnor and Wright",Medium Compatibility,67.0
Miller-Johnson,Johnston-Fuller,Medium Compatibility,67.0
Miller-Johnson,Harris Group,Medium Compatibility,67.0
Kirby-Foster,Torres Inc,Medium Compatibility,67.0
Smith-Wright,Rivera Inc,Medium Compatibility,67.0
Smith-Wright,Jensen-Roberts,Medium Compatibility,67.0
Miller-Lamb,"Fuentes, Hebert and Hunter",Medium Compatibility,67.0
Williams-Melton,"White, Odom and Burke",Medium Compatibility,67.0
Miller-Lamb,Adkins-Dean,Medium Compatibility,67.0
Williams-Melton,"Woodard, Beck and Kim",Medium Compatibility,67.0
Miller-Lamb,"Hammond, Thornton and Michael",Medium Compatibility,67.0
Williams-Melton,Martinez and Sons,Medium Compatibility,67.0
Miller-Lamb,Padilla Inc,Medium Compatibility,67.0
Miller-Lamb,"Jackson, Scott and Mclean",Medium Compatibility,67.0
Miller-Lamb,"Fischer, Oconnor and Wright",Medium Compatibility,67.0
"King, Mitchell and Williams",Martinez and Sons,Medium Compatibility,67.0
Duncan-Rivas,Torres-Orr,Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh","Meadows, Stephens and Hernandez",Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh",Hill-Huerta,Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh",Hess-Wheeler,Medium Compatibility,67.0
Smith-Wright,"Warren, Prince and Walker",Medium Compatibility,67.0
Smith-Wright,Hickman and Sons,Medium Compatibility,67.0
"Aguirre, Vincent and Chang","Rogers, Larsen and Smith",Medium Compatibility,67.0
Kirby-Foster,Taylor LLC,Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh",Spencer and Sons,Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh","Miller, Swanson and Allen",Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh",Bell-Stephenson,Medium Compatibility,67.0
"Aguirre, Vincent and Chang","Lee, Sosa and Hernandez",Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh","Grant, Wright and Pearson",Medium Compatibility,67.0
"Phillips, Vincent and Mcintosh","Dalton, Nguyen and Webb",Medium Compatibility,67.0
Casey-Cabrera,Barrett and Sons,Medium Compatibility,67.0
Duncan-Rivas,Brown-Burton,Medium Compatibility,67.0
Casey-Cabrera,Murphy PLC,Medium Compatibility,67.0
Johnson-Hale,Torres-Orr,Medium Compatibility,67.0
Harris Ltd,Martinez and Sons,Medium Compatibility,67.0
Johnson-Hale,Nguyen PLC,Medium Compatibility,67.0
Johnson-Hale,Brown-Watson,Medium Compatibility,67.0
Johnson-Hale,Brown-Burton,Medium Compatibility,67.0
"Peterson, Turner and Meyers",Rivera Inc,Medium Compatibility,67.0
"Peterson, Turner and Meyers",Jensen-Roberts,Medium Compatibility,67.0
"Peterson, Turner and Meyers","Edwards, Cabrera and Miller",Medium Compatibility,67.0
Wilson-Miller,Manning Group,Medium Compatibility,67.0
Wilson-Miller,"White, Odom and Burke",Medium Compatibility,67.0
Wilson-Miller,"Woodard, Beck and Kim",Medium Compatibility,67.0
French Ltd,Combs-Rivera,Medium Compatibility,67.0
Clark PLC,Padilla Inc,Medium Compatibility,67.0
Johnson-Hale,"Crawford, Reyes and Smith",Medium Compatibility,67.0
Ryan LLC,Johnston-Fuller,Medium Compatibility,67.0
Ryan LLC,"Dalton, Nguyen and Webb",Medium Compatibility,67.0
"Williamson, Cruz and Rice",Torres Inc,Medium Compatibility,67.0
Johnson-Hale,Mata Ltd,Medium Compatibility,67.0
Morris-Brown,Padilla Inc,Medium Compatibility,67.0
"Berry, Williams and Bean","Perkins, Moss and Moreno",Medium Compatibility,67.0
"Berry, Williams and Bean","Bennett, Green and Robles",Medium Compatibility,67.0
Morris-Brown,"Hammond, Thornton and Michael",Medium Compatibility,67.0
Clark PLC,"Hammond, Thornton and Michael",Medium Compatibility,67.0
Harris Ltd,Manning Group,Medium Compatibility,67.0
"Peterson, Turner and Meyers","Warren, Prince and Walker",Medium Compatibility,67.0
"Williamson, Cruz and Rice",Taylor LLC,Medium Compatibility,67.0
"Avery, Jackson and Simmons","Lee, Sosa and Hernandez",Medium Compatibility,67.0
Morris-Brown,Adkins-Dean,Medium Compatibility,67.0
Wilson-Miller,Martinez and Sons,Medium Compatibility,67.0
"Peterson, Turner and Meyers",Hickman and Sons,Medium Compatibility,67.0
Harris Ltd,"Woodard, Beck and Kim",Medium Compatibility,67.0
"King, Mitchell and Williams",Manning Group,Medium Compatibility,67.0
Harris Ltd,"Greene, Dyer and Owens",Medium Compatibility,67.0
Smith-Wright,"Edwards, Cabrera and Miller",Medium Compatibility,67.0
Gordon PLC,"Jackson, Scott and Mclean",Medium Compatibility,67.0
Gordon PLC,"Fischer, Oconnor and Wright",Medium Compatibility,67.0
French Ltd,Murphy PLC,Medium Compatibility,67.0
Gibson-Jones,"Bennett, Green and Robles",Medium Compatibility,67.0
Clark PLC,"Fischer, Oconnor and Wright",Medium Compatibility,67.0
Clark PLC,"Jackson, Scott and Mclean",Medium Compatibility,67.0
Clark PLC,Taylor-Taylor,Medium Compatibility,67.0
Wilson-Miller,"Greene, Dyer and Owens",Medium Compatibility,67.0
Hopkins LLC,"Greene, Dyer and Owens",Medium Compatibility,67.0
Hall PLC,Rivera Inc,Medium Compatibility,67.0
Clark PLC,Adkins-Dean,Medium Compatibility,67.0
Clark PLC,"Fuentes, Hebert and Hunter",Medium Compatibility,67.0
Hopkins LLC,"Woodard, Beck and Kim",Medium Compatibility,67.0
Hopkins LLC,"White, Odom and Burke",Medium Compatibility,67.0
Morris-Brown,"Fischer, Oconnor and Wright",Medium Compatibility,67.0
Hopkins LLC,Manning Group,Medium Compatibility,67.0
Williams-Hubbard,"Jackson, Scott and Mclean",Medium Compatibility,67.0
Williams-Hubbard,"Fischer, Oconnor and Wright",Medium Compatibility,67.0
Williams-Hubbard,Taylor-Taylor,Medium Compatibility,67.0
Gordon PLC,"Hammond, Thornton and Michael",Medium Compatibility,67.0
Gordon PLC,"Fuentes, Hebert and Hunter",Medium Compatibility,67.0
Williams-Hubbard,Padilla Inc,Medium Compatibility,67.0
Gordon PLC,Adkins-Dean,Medium Compatibility,67.0
Williams-Hubbard,"Hammond, Thornton and Michael",Medium Compatibility,67.0
"Odonnell, Thornton and King",Martinez and Sons,Medium Compatibility,67.0
Becker Ltd,"Warren, Prince and Walker",Medium Compatibility,67.0
Gordon PLC,Taylor-Taylor,Medium Compatibility,67.0
Parker-Miller,"Bennett, Green and Robles",Medium Compatibility,67.0
Parker-Miller,"Perkins, Moss and Moreno",Medium Compatibility,67.0
Williams-Hubbard,Adkins-Dean,Medium Compatibility,67.0
Hopkins LLC,Martinez and Sons,Medium Compatibility,67.0
Gordon PLC,Padilla Inc,Medium Compatibility,67.0
Thompson and Sons,Adkins-Dean,Medium Compatibility,67.0
Williams-Hubbard,"Fuentes, Hebert and Hunter",Medium Compatibility,67.0
Smith Group,"Woodard, Beck and Kim",Medium Compatibility,67.0
Smith Group,"White, Odom and Burke",Medium Compatibility,67.0
Thompson and Sons,"Fuentes, Hebert and Hunter",Medium Compatibility,67.0
Thompson and Sons,Taylor-Taylor,Medium Compatibility,67.0
Smith Group,Manning Group,Medium Compatibility,67.0
Smith Group,"Greene, Dyer and Owens",Medium Compatibility,67.0
Thompson and Sons,"Jackson, Scott and Mclean",Medium Compatibility,67.0
Thompson and Sons,"Fischer, Oconnor and Wright",Medium Compatibility,67.0
Thompson and Sons,Padilla Inc,Medium Compatibility,67.0
Smith Group,Martinez and Sons,Medium Compatibility,67.0
Potts Inc,Murphy PLC,Medium Compatibility,67.0
Becker Ltd,Rivera Inc,Medium Compatibility,67.0
"Odonnell, Thornton and King","Woodard, Beck and Kim",Medium Compatibility,67.0
"Odonnell, Thornton and King","White, Odom and Burke",Medium Compatibility,67.0
Thompson and Sons,"Hammond, Thornton and Michael",Medium Compatibility,67.0
Barker and Sons,Padilla Inc,Medium Compatibility,67.0
Barker and Sons,"Hammond, Thornton and Michael",Medium Compatibility,67.0
Miller-Johnson,Hunt LLC,Medium Compatibility,67.0
Barker and Sons,Adkins-Dean,Medium Compatibility,67.0
Miller-Johnson,"Grant, Wright and Pearson",Medium Compatibility,67.0
Miller-Johnson,Hess-Wheeler,Medium Compatibility,67.0
Miller-Johnson,Bell-Stephenson,Medium Compatibility,67.0
Miller-Johnson,"Miller, Swanson and Allen",Medium Compatibility,67.0
Miller-Johnson,Spencer and Sons,Medium Compatibility,67.0
Fleming Ltd,Murphy PLC,Medium Compatibility,67.0
Hutchinson PLC,Jensen-Roberts,Medium Compatibility,67.0
Hutchinson PLC,"Edwards, Cabrera and Miller",Medium Compatibility,67.0
Fleming Ltd,Barrett and Sons,Medium Compatibility,67.0
Fleming Ltd,"Bennett, Walker and Taylor",Medium Compatibility,67.0
Fleming Ltd,Martinez Inc,Medium Compatibility,67.0
Becker Ltd,Harris Group,Medium Compatibility,65.5
Hall PLC,Hess-Wheeler,Medium Compatibility,65.5
"Rush, Palmer and Perkins","Perkins, Moss and Moreno",Medium Compatibility,65.5
"King, Mitchell and Williams","Rogers, Larsen and Smith",Medium Compatibility,65.5
French Ltd,Mata Ltd,Medium Compatibility,65.5
Hall PLC,Hunt LLC,Medium Compatibility,65.5
Hall PLC,Martin-Hudson,Medium Compatibility,60.0
Potts Inc,Martin-Hudson,Medium Compatibility,60.0
Morris-Brown,Hill-Huerta,Medium Compatibility,60.0
Miller and Sons,Taylor LLC,Medium Compatibility,60.0
Potts Inc,"Miller, Swanson and Allen",Medium Compatibility,60.0
